Contcod,Group,Measure Names,R Rinc,Running Sum of Pop
CZE,1,Running Sum of Population,3113,3125.380849900
PRT,3,Running Sum of Population,3117,3126.382810900
POL,4,Running Sum of Population,3126,3130.165259700
BRA,8,Running Sum of Population,3137,3144.612298100
ISR,3,Running Sum of Population,3137,3145.056498100
HUN,8,Running Sum of Population,3154,3146.116146800
COL,8,Running Sum of Population,3158,3149.307471800
TTO,7,Running Sum of Population,3196,3149.427594200
MYS,8,Running Sum of Population,3206,3151.147601000
JOR,8,Running Sum of Population,3214,3151.442401000
BLR,5,Running Sum of Population,3222,3152.456401000
KOR,2,Running Sum of Population,3222,3156.653901000
EGY,10,Running Sum of Population,3236,3162.097273000
LVA,1,Running Sum of Population,3265,3162.362616400
BOL,9,Running Sum of Population,3279,3162.998963400
PRY,7,Running Sum of Population,3280,3163.401326200
VEN,7,Running Sum of Population,3290,3165.285254000
ARG,4,Running Sum of Population,3307,3168.458167000
ESP,2,Running Sum of Population,3320,3172.329751800
ROU,4,Running Sum of Population,3328,3174.635518000
LTU,5,Running Sum of Population,3367,3175.001022900
MEX,7,Running Sum of Population,3374,3183.102032500
SVK,2,Running Sum of Population,3376,3183.627092100
CIV,10,Running Sum of Population,3386,3184.796523900
URY,5,Running Sum of Population,3393,3185.103340500
KAZ,5,Running Sum of Population,3406,3186.716423700
POL,5,Running Sum of Population,3502,3190.498872500
SLV,9,Running Sum of Population,3529,3191.017829000
JAM,9,Running Sum of Population,3552,3191.253469000
BLR,6,Running Sum of Population,3574,3192.267469000
EST,3,Running Sum of Population,3584,3192.423659000
IRL,4,Running Sum of Population,3623,3192.776153900
ITA,2,Running Sum of Population,3640,3198.439082700
SVN,2,Running Sum of Population,3642,3198.638602300
ECU,9,Running Sum of Population,3651,3199.617868100
BGR,2,Running Sum of Population,3654,3200.516012700
PRT,4,Running Sum of Population,3667,3201.517973700
CYP,3,Running Sum of Population,3679,3201.591626800
ROU,5,Running Sum of Population,3707,3203.897393000
LTU,6,Running Sum of Population,3733,3204.262897900
MEX,8,Running Sum of Population,3745,3212.363907500
BEL,1,Running Sum of Population,3753,3213.354073900
HUN,9,Running Sum of Population,3758,3214.413722600
TUR,9,Running Sum of Population,3817,3219.641572600
SVK,3,Running Sum of Population,3820,3220.166632200
